,Event,Person
0,SAFe® DevOps: лучшие практики и диагностика создания ценности,алексей ионов
0,WTM-meetup #3,ольга иванова
0,WTM-meetup #3,маша круглова
0,WTM-meetup #3,елена киршанова
0,ProductTank Almaty meetup #5,владислав балаклейский
0,ProductTank Almaty meetup #5,асель жакупова
0,ProductTank Almaty meetup #5,ербол бостанов
0,Python Breakfast Moscow #6,антон брызгалов
0,Python Breakfast Moscow #6,алексей пирогов
0,Воркшоп по WEB-дизайну «Продающий баннер за час»,полина курочкина
0,"DevOps EVENING: говорим про мониторинг, систему обработки событий, делимся опытом по работе с Influx",денис кошечкин
0,"DevOps EVENING: говорим про мониторинг, систему обработки событий, делимся опытом по работе с Influx",вячеслав швецов
0,"DevOps EVENING: говорим про мониторинг, систему обработки событий, делимся опытом по работе с Influx",евгений тетеньчук
0,SPB FHIR Meetup #6 — встреча FHIR-сообщества в Санкт-Петербурге,александр иванов
0,SPB FHIR Meetup #6 — встреча FHIR-сообщества в Санкт-Петербурге,михаил полубояринов
0,Three Amigos Talk,малик сафиуллин
0,Three Amigos Talk,татьяна новикова
0,Three Amigos Talk,рафаэль валеев
0,Three Amigos Talk,дамир гарифуллин
0,Three Amigos Talk,камал галиаскар
0,Altenar Tech talks #1,владимир гагарин
0,Altenar Tech talks #1,артема мещеряк
0,Altenar Tech talks #1,сергей калинковский
0,Онлайн-курс “Продвижение в Instagram”,алексей сухоруков
0,Онлайн-курс “Продвижение в Instagram”,диана андиева
0,3-х дневный онлайн-интенсив «Как создать сайт/блог и прокачать уже созданный»,александр борисов
0,Izh Tech Talks #7 по бэкенду,павел александров
0,Izh Tech Talks #7 по бэкенду,виктор камашев
0,Izh Tech Talks #7 по бэкенду,юрий суслов
0,Moscow Apache Ignite® Meetup #7,денис гарус
0,Завтрак в Авито - HR IT клуб,александр головин
0,Завтрак в Авито - HR IT клуб,валентин ли
0,Завтрак в Авито - HR IT клуб,мария тезикова
0,Завтрак в Авито - HR IT клуб,виктория максименко
0,Завтрак в Авито - HR IT клуб,анастасий максимов
0,Завтрак в Авито - HR IT клуб,дарья попова
0,Лекция  «Информационная безопасность в современном мире»,илья викснин
0,Design Update 2.4: Ошибки дизайнеров,александр устинов
0,Design Update 2.4: Ошибки дизайнеров,дмитрий карпов
0,Design Update 2.4: Ошибки дизайнеров,вова кутовой
0,Design Update 2.4: Ошибки дизайнеров,рома дик
0,Design Update 2.4: Ошибки дизайнеров,илья котельников
0,Kotlin/Everywhere Welcome Meetup,карл маркс
0,Kotlin/Everywhere Welcome Meetup,алексей туркин
0,Kotlin/Everywhere Welcome Meetup,роман хлебнов
0,#36 SECON.Посиделки - Разговоры про ИТ-анализ,никита мельников
0,#36 SECON.Посиделки - Разговоры про ИТ-анализ,наталья косинова
0,"Митап ""Оцифрованный мир. Прогресс или ловушка?""",дмитрий камынин
0,"Митап ""Оцифрованный мир. Прогресс или ловушка?""",мария косолапова
0,"Митап ""Оцифрованный мир. Прогресс или ловушка?""",максим афонасьев
0,Образовательный трек: Культура vs agile? Фреймворки или продуктивность? Кто кого???,станислав барышев
0,Образовательный трек: Культура vs agile? Фреймворки или продуктивность? Кто кого???,светлана перминова
0,Образовательный трек: Культура vs agile? Фреймворки или продуктивность? Кто кого???,валерий горшков
0,Образовательный трек: Культура vs agile? Фреймворки или продуктивность? Кто кого???,дмитрий сергеев
0,"Митап ""Виртуальная и дополненная реальность: технология, применения, перспективы"". Образовательный трек",артём реутов
0,"Митап ""Виртуальная и дополненная реальность: технология, применения, перспективы"". Образовательный трек",александр власов
0,«Создай своего чат-бота с IBM Watson Assistant»,лорен винсен
0,"Вебинар ""Как стать востребованным Java-специалистом?""",дмитрий ржевский
0,Встреча SpbDotNet №54,александр баранов
0,«Как блокчейн поможет вашему бизнесу — практические примеры от IBM»,лорен винсен
0,Дизайн. Лекторий: Беседа о дизайне продукта во «ВкусВилл»,мелор курдованидзе
0,Дизайн. Лекторий: Беседа о дизайне продукта во «ВкусВилл»,рома шелехов
0,Дизайн. Лекторий: Беседа о дизайне продукта во «ВкусВилл»,виталик мазуревич
0,Практический курс интернет-маркетолога,антон лапкин
0,Практический курс интернет-маркетолога,иванов преподаватель
0,Практический курс интернет-маркетолога,андрей преподаватель
0,Практический курс интернет-маркетолога,анна мишутина
0,Практический курс интернет-маркетолога,юрий балакин
0,Практический курс интернет-маркетолога,светлана ширяева
0,Практический курс интернет-маркетолога,ален лопатюк
0,Практический курс интернет-маркетолога,антон балашов
0,"Мастер-класс Евгения Попова ""Прибыльный блог на Wordpress по системе «Турбина»""",зинаида лукьянова
0,"Мастер-класс Евгения Попова ""Прибыльный блог на Wordpress по системе «Турбина»""",евгений попов
0,История Рунета с Андреем Лошаком,карл маркс
0,История Рунета с Андреем Лошаком,андрей лошак
0,Moscow Spark #9,павел клеменков
0,Moscow Spark #9,андрей титов
0,Moscow Spark #9,евгений лопаткин
0,Moscow Spark #9,андрей жуков
0,Moscow Spark #9,алексей белов
0,Moscow Spark #9,лев рагулин
0,Rnd Tech Talks #3 по тестированию,максим захаров
0,Rnd Tech Talks #3 по тестированию,ирина полунина
0,"Открытый лекторий ""Фундаментальный маркетинг: тренды 2020""",евгений кузнецов
0,"Открытый лекторий ""Фундаментальный маркетинг: тренды 2020""",никита прохоров
0,"Открытый лекторий ""Фундаментальный маркетинг: тренды 2020""",дмитрий курицын
0,"Moscow Node.js Meetup 10: Архитектура Node.js-приложений, Hot Reload в Node.js и секретный доклад",павел казанцев
0,"Moscow Node.js Meetup 10: Архитектура Node.js-приложений, Hot Reload в Node.js и секретный доклад",денис измайлов
0,"Moscow Node.js Meetup 10: Архитектура Node.js-приложений, Hot Reload в Node.js и секретный доклад",евгений бондаренко
0,"Moscow Node.js Meetup 10: Архитектура Node.js-приложений, Hot Reload в Node.js и секретный доклад",леонид лёвкин
0,"Moscow Node.js Meetup 10: Архитектура Node.js-приложений, Hot Reload в Node.js и секретный доклад",мерлена леруа
0,Школа IT-юриста: Я попался на нарушении авторских прав. Что делать?,евгения седой
0,Школа IT-юриста: Я попался на нарушении авторских прав. Что делать?,людмила харитонова
0,"Тренинг ""Ошибки в юзабилити сайтов""",алексей сухоруков
0,"Тренинг ""Ошибки в юзабилити сайтов""",ольга орешкова
0,Встреча с экспертами,ксения кривоногова
0,Встреча с экспертами,ирина позднякова
0,Встреча с экспертами,оля николаева
0,MeetUp по дистрибуции цифровых продуктов,ксения яковлева
0,MeetUp по дистрибуции цифровых продуктов,сергей маркин
0,MeetUp по дистрибуции цифровых продуктов,вячеслав прохоров
0,MeetUp по дистрибуции цифровых продуктов,вячеслав новиков
0,MeetUp по дистрибуции цифровых продуктов,филипп долматов
0,"Лекторий ВШК. Онлайн-игры, стартапы и блоги: когда любишь создавать хайп вокруг хайпа",паша микус
0,"Лекторий ВШК. Онлайн-игры, стартапы и блоги: когда любишь создавать хайп вокруг хайпа",юлий дорошок
0,"Лекторий ВШК. Онлайн-игры, стартапы и блоги: когда любишь создавать хайп вокруг хайпа",саша спилберг
0,Big Monitoring Meetup 4,александр валялкин
0,Big Monitoring Meetup 4,александр беляков
0,Big Monitoring Meetup 4,иван стрельников
0,Big Monitoring Meetup 4,кирилл малеванов
0,Big Monitoring Meetup 4,александр зобнин
0,Big Monitoring Meetup 4,алика фахрутдин
0,Big Monitoring Meetup 4,сергей мартынов
0,Big Monitoring Meetup 4,александр чистяков
0,Открытая лекция курса «JavaScript-разработчик»,светлана стахнёва
0,Открытая лекция курса «JavaScript-разработчик»,николай громов
0,"Вебинар ""Ошибки в программировании. Как не завалить проект""",дмитрий ржевский
0,Открытый семинар «Практические аспекты интеллектуальной собственности»,евгений меньшиков
0,DemoDay Городского цифрового акселератора,николай вяткин
0,DemoDay Городского цифрового акселератора,евгений кузнецов
0,DemoDay Городского цифрового акселератора,владимир княгинин
0,DemoDay Городского цифрового акселератора,снежана китаева
0,Нейро-перфоманс Mirror Waves Юрия Дидевича,юрий дидевич
0,Нейро-перфоманс Mirror Waves Юрия Дидевича,юрий дидевич
0,"Секреты прибыльного арбитража: как искать, создавать и тестировать креативы?",игорь шеньшин
0,Product MindSet Novosibirsk Meetup #3,антон титов
0,Product MindSet Novosibirsk Meetup #3,никита лаптев
0,Product MindSet Novosibirsk Meetup #3,валентин сторожков
0,"Школа IT-юриста: Мой сайт скопировали, что делать?",евгения седой
0,"Школа IT-юриста: Мой сайт скопировали, что делать?",людмила харитонова
0,NX Bootcamp: «Аналитические навыки в IT»,александр захаров
0,"Онлайн-интенсив ""Marketing superhero""",константин карпов
0,"Онлайн-интенсив ""Marketing superhero""",никита кравченко
0,"Онлайн-интенсив ""Marketing superhero""",никита прохоров
0,"Онлайн-интенсив ""Marketing superhero""",антон верт
0,"Онлайн-интенсив ""Marketing superhero""",андрей кузовлев
0,"Онлайн-интенсив ""Marketing superhero""",дмитрий сидорин
0,Финал Евразийских соревнований в сфере ИКТ Huawei Honor Cup 2019,денис сереченко
0,Финал Евразийских соревнований в сфере ИКТ Huawei Honor Cup 2019,данила булан
0,Финал Евразийских соревнований в сфере ИКТ Huawei Honor Cup 2019,жюля верна
0,Финал Евразийских соревнований в сфере ИКТ Huawei Honor Cup 2019,александр исаев
0,Финал Евразийских соревнований в сфере ИКТ Huawei Honor Cup 2019,владимир рубанов
0,SPECIA Product Meetup,игорь комаров
0,SPECIA Product Meetup,даниил широков
0,SPECIA Product Meetup,татьяна титова
0,Kotlin Meetup [30.10.2019] в DomClick,вячеслав артемьев
0,Kotlin Meetup [30.10.2019] в DomClick,геннадий васильков
0,Kotlin Meetup [30.10.2019] в DomClick,александр коцюруба
0,Perm Tech Talks #5 по тестированию,максим захаров
0,Perm Tech Talks #5 по тестированию,ирина полунина
0,"Открытый лекторий ""Фундаментальный маркетинг: продвижение без бюджета""",дмитрий сидорин
