"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Spain","ESP","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3648000","4224000","3980000","4794000","3519000","4100000","4139000","3871000","4094000","5121000","10464000","10678000","11276000","11229000","12017000","12379000","13347000","12422000","11246000","11783000","14407000","15405000","17031000","",
"Estonia","EST","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1764000","1547000","1616000","1659000","1780000","1800000","1658000","1849000","2075000","","","438000","677000","692000","752000","955000","1054000","1147000","1166000","1426000","1250000","1339000","1279000","",
"Ethiopia","ETH","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","120000","133000","","","","","","","","","","","","","","","","","","","","","","",
"European Union","EUU","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","271420561.517447","284221892.793757","309695571.035271","322777176.485649","340783085.927046","340633646.894124","340737833.262147","346905876.726608","356707578.06104","378798534.382903","380570623.29531","403096616.474319","414455496.722338","387566878.223059","388360513.800417","394320441.20567","394282649.03532","404807940.477742","393425059.649229","415826094.126207","443469021.562963","466939162.771455","",
"Fragile and conflict affected situations","FCS","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Finland","FIN","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5147000","4918000","5233000","4743000","5314000","5914000","5824000","5857000","5585000","5798000","5902000","5756000","5749000","5854000","5832000","6633000","7274000","9055000","8562000","8731000","8904000","9125000","9330000","",
"Fiji","FJI","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68000","72000","74000","78000","89000","83000","85000","99000","104000","94000","109000","121000","120000","124000","125000","128000","132000","132000","","","","156000","169000","",
"France","FRA","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18686000","18151000","17115000","18077000","16709000","19886000","19265000","18315000","18576000","21131000","22480000","22240000","28103000","25506000","25140000","25041000","26155000","25317000","26062000","27919000","26648000","26483000","29055000","",
"Faroe Islands","FRO","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gabon","GAB","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","203000","187000","168000","189000","219000","236000","","","","","","","","","","","","","","","",
"United Kingdom","GBR","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41345000","42050000","45957000","50872000","53881000","56837000","58281000","59377000","61424000","64194000","66494000","69536000","69450000","69011000","58614000","55562000","56836000","56538000","57792000","60082000","65720000","70815000","74189000","",
"Georgia","GEO","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","228000","219000","355000","433000","373000","315000","306000","317000","","466000","857000","1346000","1473000","1872000","1980000","2086000","2237000","2734000","3220000","3106000","3136000","3400000","3851000","",
